target_date,platform,keyword,count,collected_at,status,note
2025-12-15,instagram,렉스트림,6,2026-03-23 16:37:00,success,
2025-12-15,instagram,REXTREME,5,2026-03-23 16:37:00,success,
2025-12-15,instagram,combined_unique,6,2026-03-23 16:37:00,success,
2025-12-16,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2025-12-16,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2025-12-16,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2025-12-17,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2025-12-17,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2025-12-17,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2025-12-18,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2025-12-18,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2025-12-18,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2025-12-19,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2025-12-19,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2025-12-19,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2025-12-20,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2025-12-20,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2025-12-20,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2025-12-21,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2025-12-21,instagram,REXTREME,3,2026-03-23 16:37:00,success,
2025-12-21,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2025-12-22,instagram,렉스트림,4,2026-03-23 16:37:00,success,
2025-12-22,instagram,REXTREME,4,2026-03-23 16:37:00,success,
2025-12-22,instagram,combined_unique,4,2026-03-23 16:37:00,success,
2025-12-23,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2025-12-23,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2025-12-23,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2025-12-24,instagram,렉스트림,4,2026-03-23 16:37:00,success,
2025-12-24,instagram,REXTREME,5,2026-03-23 16:37:00,success,
2025-12-24,instagram,combined_unique,5,2026-03-23 16:37:00,success,
2025-12-25,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2025-12-25,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2025-12-25,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2025-12-26,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2025-12-26,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2025-12-26,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2025-12-27,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2025-12-27,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2025-12-27,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2025-12-28,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2025-12-28,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2025-12-28,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2025-12-29,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2025-12-29,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2025-12-29,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2025-12-30,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2025-12-30,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2025-12-30,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2025-12-31,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2025-12-31,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2025-12-31,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-01,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-01-01,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-01-01,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2026-01-02,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-02,instagram,REXTREME,4,2026-03-23 16:37:00,success,
2026-01-02,instagram,combined_unique,5,2026-03-23 16:37:00,success,
2026-01-03,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-01-03,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-01-03,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-04,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-04,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-04,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-05,instagram,렉스트림,7,2026-03-23 16:37:00,success,
2026-01-05,instagram,REXTREME,5,2026-03-23 16:37:00,success,
2026-01-05,instagram,combined_unique,7,2026-03-23 16:37:00,success,
2026-01-06,instagram,렉스트림,3,2026-03-23 16:37:00,success,
2026-01-06,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-01-06,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-07,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-07,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-01-07,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-08,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-01-08,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-08,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2026-01-09,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-01-09,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-09,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-10,instagram,렉스트림,4,2026-03-23 16:37:00,success,
2026-01-10,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-10,instagram,combined_unique,4,2026-03-23 16:37:00,success,
2026-01-11,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-01-11,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-11,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-12,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-12,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-01-12,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2026-01-13,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-01-13,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-13,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-14,instagram,렉스트림,3,2026-03-23 16:37:00,success,
2026-01-14,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-01-14,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-15,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-01-15,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-01-15,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2026-01-16,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-16,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-01-16,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-17,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-01-17,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-17,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-18,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-01-18,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-01-18,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2026-01-19,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-19,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-19,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-20,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-01-20,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-20,instagram,combined_unique,3,2026-03-23 16:37:00,success,
2026-01-21,instagram,렉스트림,3,2026-03-23 16:37:00,success,
2026-01-21,instagram,REXTREME,3,2026-03-23 16:37:00,success,
2026-01-21,instagram,combined_unique,5,2026-03-23 16:37:00,success,
2026-01-22,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-01-22,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-01-22,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-01-23,instagram,렉스트림,4,2026-03-23 16:37:00,success,
2026-01-23,instagram,REXTREME,4,2026-03-23 16:37:00,success,
2026-01-23,instagram,combined_unique,4,2026-03-23 16:37:00,success,
2026-01-24,instagram,렉스트림,21,2026-03-23 16:37:00,success,
2026-01-24,instagram,REXTREME,22,2026-03-23 16:37:00,success,
2026-01-24,instagram,combined_unique,26,2026-03-23 16:37:00,success,
2026-01-25,instagram,렉스트림,89,2026-03-23 16:37:00,success,
2026-01-25,instagram,REXTREME,105,2026-03-23 16:37:00,success,
2026-01-25,instagram,combined_unique,121,2026-03-23 16:37:00,success,
2026-01-26,instagram,렉스트림,31,2026-03-23 16:37:00,success,
2026-01-26,instagram,REXTREME,32,2026-03-23 16:37:00,success,
2026-01-26,instagram,combined_unique,41,2026-03-23 16:37:00,success,
2026-01-27,instagram,렉스트림,13,2026-03-23 16:37:00,success,
2026-01-27,instagram,REXTREME,19,2026-03-23 16:37:00,success,
2026-01-27,instagram,combined_unique,21,2026-03-23 16:37:00,success,
2026-01-28,instagram,렉스트림,9,2026-03-23 16:37:00,success,
2026-01-28,instagram,REXTREME,14,2026-03-23 16:37:00,success,
2026-01-28,instagram,combined_unique,16,2026-03-23 16:37:00,success,
2026-01-29,instagram,렉스트림,11,2026-03-23 16:37:00,success,
2026-01-29,instagram,REXTREME,8,2026-03-23 16:37:00,success,
2026-01-29,instagram,combined_unique,14,2026-03-23 16:37:00,success,
2026-01-30,instagram,렉스트림,12,2026-03-23 16:37:00,success,
2026-01-30,instagram,REXTREME,11,2026-03-23 16:37:00,success,
2026-01-30,instagram,combined_unique,13,2026-03-23 16:37:00,success,
2026-01-31,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-01-31,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-01-31,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2026-02-01,instagram,렉스트림,3,2026-03-23 16:37:00,success,
2026-02-01,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-02-01,instagram,combined_unique,4,2026-03-23 16:37:00,success,
2026-02-02,instagram,렉스트림,6,2026-03-23 16:37:00,success,
2026-02-02,instagram,REXTREME,5,2026-03-23 16:37:00,success,
2026-02-02,instagram,combined_unique,7,2026-03-23 16:37:00,success,
2026-02-03,instagram,렉스트림,4,2026-03-23 16:37:00,success,
2026-02-03,instagram,REXTREME,4,2026-03-23 16:37:00,success,
2026-02-03,instagram,combined_unique,6,2026-03-23 16:37:00,success,
2026-02-04,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-02-04,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-02-04,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2026-02-05,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-02-05,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-02-05,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-02-06,instagram,렉스트림,2,2026-03-23 16:37:00,success,
2026-02-06,instagram,REXTREME,2,2026-03-23 16:37:00,success,
2026-02-06,instagram,combined_unique,2,2026-03-23 16:37:00,success,
2026-02-07,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-02-07,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-02-07,instagram,combined_unique,0,2026-03-23 16:37:00,success,
2026-02-08,instagram,렉스트림,1,2026-03-23 16:37:00,success,
2026-02-08,instagram,REXTREME,1,2026-03-23 16:37:00,success,
2026-02-08,instagram,combined_unique,1,2026-03-23 16:37:00,success,
2026-02-09,instagram,렉스트림,0,2026-03-23 16:37:00,success,
2026-02-09,instagram,REXTREME,0,2026-03-23 16:37:00,success,
2026-02-09,instagram,combined_unique,0,2026-03-23 16:37:00,success,
