시도명,시군구명,헬스장개수,총 인구수
강원특별자치도,춘천시,136,285234
강원특별자치도,원주시,112,363194
강원특별자치도,강릉시,80,206237
강원특별자치도,동해시,32,86333
강원특별자치도,속초시,20,79636
강원특별자치도,철원군,14,39979
강원특별자치도,홍천군,14,66109
강원특별자치도,삼척시,13,60518
강원특별자치도,태백시,11,37088
강원특별자치도,양양군,7,27292
강원특별자치도,횡성군,7,45627
강원특별자치도,영월군,6,36054
강원특별자치도,평창군,6,39831
강원특별자치도,인제군,5,30863
강원특별자치도,양구군,4,20410
강원특별자치도,고성군,3,26845
강원특별자치도,정선군,3,34879
강원특별자치도,화천군,2,22371
경기도,화성시,309,989969
경기도,성남시 분당구,266,469833
경기도,남양주시,200,729754
경기도,부천시 원미구,184,384561
경기도,평택시,183,610402
경기도,시흥시,180,515032
경기도,김포시,177,484792
경기도,수원시 영통구,165,362493
경기도,의정부시,164,461572
경기도,용인시 기흥구,158,435048
경기도,고양시 덕양구,144,485546
경기도,파주시,140,526005
경기도,용인시 수지구,139,374094
경기도,고양시 일산동구,134,296758
경기도,안양시 동안구,133,329530
경기도,수원시 권선구,125,361064
경기도,안산시 단원구,121,289769
경기도,하남시,120,327939
경기도,수원시 팔달구,100,191822
경기도,고양시 일산서구,94,277777
경기도,광주시,87,397346
경기도,군포시,84,251367
경기도,성남시 수정구,82,232389
경기도,수원시 장안구,82,271136
경기도,광명시,79,293947
경기도,안산시 상록구,78,322739
경기도,양주시,74,296224
경기도,구리시,65,186090
경기도,오산시,63,249410
경기도,용인시 처인구,63,282044
경기도,성남시 중원구,62,203572
경기도,부천시 소사구,60,225458
경기도,이천시,60,222967
경기도,안양시 만안구,55,233749
경기도,의왕시,50,160370
경기도,안성시,49,196592
경기도,부천시 오정구,29,148777
경기도,포천시,29,140452
경기도,동두천시,22,86438
경기도,양평군,22,126933
경기도,여주시,22,114002
경기도,과천시,21,79908
경기도,가평군,13,62125
경기도,연천군,5,42340
경상남도,김해시,162,533035
경상남도,진주시,110,335939
경상남도,창원시 성산구,99,246904
경상남도,양산시,97,361155
경상남도,창원시 마산회원구,57,176275
경상남도,창원시 의창구,56,207141
경상남도,거제시,49,231178
경상남도,창원시 진해구,42,184778
경상남도,창원시 마산합포구,35,175800
경상남도,통영시,29,116667
경상남도,사천시,25,107935
경상남도,밀양시,15,99252
경상남도,함안군,9,57558
경상남도,거창군,8,58980
경상남도,창녕군,6,54900
경상남도,남해군,5,40770
경상남도,고성군,4,47099
경상남도,산청군,3,32745
경상남도,하동군,3,39974
경상남도,함양군,3,35472
경상남도,합천군,2,39190
경상남도,의령군,1,24636
경상북도,구미시,136,403883
경상북도,경산시,91,263853
경상북도,포항시 남구,68,215206
경상북도,포항시 북구,67,273501
경상북도,경주시,51,244055
경상북도,안동시,49,152610
경상북도,김천시,41,133791
경상북도,칠곡군,25,104842
경상북도,상주시,16,89888
경상북도,영천시,16,95185
경상북도,영주시,15,97162
경상북도,예천군,14,53887
경상북도,문경시,9,65348
경상북도,울진군,6,45896
경상북도,의성군,3,47902
경상북도,봉화군,2,28315
경상북도,성주군,2,40720
경상북도,영덕군,2,32698
경상북도,고령군,1,29667
경상북도,영양군,1,15941
경상북도,청도군,1,40117
경상북도,청송군,1,23363
광주광역시,북구,135,416862
광주광역시,광산구,129,387604
광주광역시,서구,108,275063
광주광역시,남구,71,207596
광주광역시,동구,39,104888
대구광역시,수성구,191,409222
대구광역시,달서구,187,517059
대구광역시,북구,133,409854
대구광역시,동구,97,339281
대구광역시,달성군,54,254659
대구광역시,중구,41,101007
대구광역시,남구,37,135542
대구광역시,서구,26,163956
대구광역시,군위군,2,22452
대전광역시,서구,208,463351
대전광역시,유성구,175,367534
대전광역시,중구,60,225645
대전광역시,동구,47,218664
대전광역시,대덕구,41,165535
부산광역시,부산진구,146,365378
부산광역시,해운대구,146,372604
부산광역시,동래구,97,273277
부산광역시,금정구,78,206588
부산광역시,수영구,76,169112
부산광역시,사하구,71,286222
부산광역시,남구,69,250668
부산광역시,북구,69,262862
부산광역시,연제구,61,211727
부산광역시,사상구,52,194124
부산광역시,강서구,50,150299
부산광역시,기장군,49,174898
부산광역시,동구,25,83851
부산광역시,서구,23,101892
부산광역시,중구,22,36518
부산광역시,영도구,15,101580
서울특별시,강남구,529,556330
서울특별시,송파구,351,643350
서울특별시,서초구,328,414428
서울특별시,강서구,244,549711
서울특별시,마포구,220,357616
서울특별시,영등포구,209,371362
서울특별시,관악구,186,477605
서울특별시,강동구,175,499127
서울특별시,양천구,161,425088
서울특별시,광진구,151,331167
서울특별시,노원구,141,483541
서울특별시,동대문구,130,346241
서울특별시,성북구,130,422559
서울특별시,구로구,123,383829
서울특별시,동작구,122,371924
서울특별시,성동구,117,274606
서울특별시,은평구,117,455137
서울특별시,서대문구,110,300147
서울특별시,종로구,98,137048
서울특별시,금천구,91,223290
서울특별시,도봉구,90,299899
서울특별시,중구,90,117805
서울특별시,용산구,85,201894
서울특별시,중랑구,81,376916
서울특별시,강북구,78,278928
세종특별자치시,세종특별자치시,100,391965
울산광역시,남구,119,304128
울산광역시,북구,63,215220
울산광역시,중구,58,204169
울산광역시,동구,39,149257
울산광역시,울주군,36,219174
인천광역시,서구,184,654358
인천광역시,연수구,165,409437
인천광역시,남동구,164,480147
인천광역시,부평구,148,490442
인천광역시,미추홀구,99,417578
인천광역시,계양구,94,277721
인천광역시,중구,41,176467
인천광역시,강화군,12,69698
인천광역시,동구,3,56477
인천광역시,옹진군,1,19636
전라남도,순천시,76,275492
전라남도,여수시,58,263284
전라남도,목포시,41,202003
전라남도,광양시,39,155259
전라남도,나주시,30,117076
전라남도,무안군,17,95592
전라남도,화순군,10,60215
전라남도,완도군,9,44613
전라남도,해남군,8,62188
전라남도,보성군,6,36858
전라남도,고흥군,5,59455
전라남도,영광군,5,53526
전라남도,장흥군,5,34201
전라남도,진도군,4,27964
전라남도,구례군,3,23803
전라남도,담양군,3,44177
전라남도,강진군,2,31799
전라남도,곡성군,2,27287
전라남도,장성군,2,42958
전라남도,함평군,2,29458
전라남도,신안군,1,41858
전라남도,영암군,1,50069
전북특별자치도,전주시 덕진구,120,309018
전북특별자치도,전주시 완산구,113,316419
전북특별자치도,익산시,52,267066
전북특별자치도,군산시,45,256291
전북특별자치도,정읍시,20,101123
전북특별자치도,완주군,19,100444
전북특별자치도,남원시,11,74272
전북특별자치도,김제시,10,81676
전북특별자치도,부안군,9,47220
전북특별자치도,고창군,4,50396
전북특별자치도,무주군,2,22787
전북특별자치도,순창군,1,27714
전북특별자치도,임실군,1,25259
전북특별자치도,진안군,1,24249
제주특별자치도,제주시,185,485182
제주특별자치도,서귀포시,61,179610
충청남도,천안시 서북구,170,401852
충청남도,아산시,86,359378
충청남도,천안시 동남구,80,262470
충청남도,서산시,43,172438
충청남도,당진시,33,172564
충청남도,홍성군,28,100557
충청남도,논산시,19,106777
충청남도,예산군,17,78815
충청남도,공주시,15,99979
충청남도,보령시,13,92117
충청남도,계룡시,9,45846
충청남도,태안군,7,59474
충청남도,부여군,6,58377
충청남도,서천군,5,47225
충청남도,금산군,3,48898
충청남도,청양군,2,29986
충청북도,청주시 흥덕구,128,292051
충청북도,청주시 청원구,71,186861
충청북도,청주시 상당구,62,194551
충청북도,충주시,57,206540
충청북도,청주시 서원구,56,182689
충청북도,제천시,43,128003
충청북도,음성군,26,94280
충청북도,진천군,20,86580
충청북도,옥천군,10,49601
충청북도,증평군,9,36680
충청북도,영동군,5,43032
충청북도,단양군,2,26812
충청북도,괴산군,1,38293
충청북도,보은군,1,30529
