대회명,카테고리,시도명,시군구명,위도,경도
제1회 인천연수구청장배 트레일런대회,트레일런,인천광역시,인천,37.456042,126.705247
제20회 창녕부곡온천 마라톤,마라톤,경상남도,창녕,35.237795,128.691934
2026 성주참외전국마라톤대회,마라톤,경상북도,성주,36.576118,128.505713
2026 부천국제10km로드레이스,마라톤,경기도,부천,37.289349,127.05351
제27회 3.1절 건강달리기,마라톤,강원특별자치도,춘천,37.885417,127.731015
2026 저스트 RUN10 세종,마라톤,세종특별자치시,세종,36.480052,127.289034
2026 WINTER 평창 알몸마라톤,마라톤,강원특별자치도,평창,37.885417,127.731015
2026 PIS전국마스터즈1500M수영대회,수영,서울특별시,서울,37.566309,126.977818
2026 진주지역 달림이 합동훈련,기타,경상남도,진주,35.237795,128.691934
2026 코리아 스노우 트레일,트레일런,강원특별자치도,평창,37.885417,127.731015
2026 거제 산방산 임도런,트레일런,경상남도,거제,35.237795,128.691934
2025 하남시육상연맹 클럽 대항전 마라톤대회,마라톤,경기도,하남,37.289349,127.05351
제35회 진주마라톤대회,마라톤,경상남도,진주,35.237795,128.691934
2025 제4회기장군 육상연맹 마라톤대회,마라톤,부산광역시,부산,35.179922,129.075086
2025 스노우애슬론,기타,강원특별자치도,평창,37.885417,127.731015
제19회 양산전국하프마라톤,마라톤,경상남도,양산,35.237795,128.691934
카카오페이 X 션과 함께 | 2025 LONG RUN,마라톤,경기도,하남,37.289349,127.05351
2025 KIS 트레일레이스,트레일런,대구광역시,대구,35.871546,128.601209
제3회 영남알프스 전국하프 마라톤대회,마라톤,울산광역시,울산,35.53794,129.311255
2025 스포츠서울 하프 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 무등산 구석구석 트레킹탐방,걷기/트레킹,광주광역시,광주,35.160098,126.851452
2025 포항마라톤 챔피언십,마라톤,경상북도,포항,36.576118,128.505713
버닝런스토리 일레븐,마라톤,서울특별시,서울,37.566309,126.977818
2025 IFEZ 영종·청라 코리아맨 듀애슬론 대회,듀애슬론,인천광역시,인천,37.456042,126.705247
2025 긍정 하프 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
제20회 광진구연맹회장배 육상대회,육상,서울특별시,서울,37.566309,126.977818
2025 슬로우런,마라톤,서울특별시,서울,37.566309,126.977818
제1회 황영조와 함께하는 전국 로드레이스,마라톤,인천광역시,인천,37.456042,126.705247
2025 남해트레일레이스,트레일런,경상남도,남해,35.237795,128.691934
2025 산악인의밤,기타,서울특별시,서울,37.566309,126.977818
2025 미니언즈 런 부산,마라톤,부산광역시,부산,35.179922,129.075086
2025 YTN 서울투어 마라톤,마라톤,서울특별시,서울,37.566309,126.977818
2025 인천마라톤,마라톤,인천광역시,인천,37.456042,126.705247
