상호명,상권업종소분류명,시도명,시군구명,경도,위도
헬스,헬스장,강원특별자치도,삼척시,129.166635380585,37.4438862530349
고고클라이밍,헬스장,강원특별자치도,원주시,127.947508866948,37.3493022732556
엠브이피짐,헬스장,강원특별자치도,속초시,128.574608687241,38.2071172955254
컨피던스짐,헬스장,강원특별자치도,원주시,127.951594974221,37.3287807878419
핏,헬스장,강원특별자치도,홍천군,127.88322739292,37.6835391080641
스피닝&점핑,헬스장,강원특별자치도,인제군,128.169732514273,38.0674781347503
에스엠씨근골격운동센터,헬스장,강원특별자치도,춘천시,127.729290251212,37.8627355852105
점핑하이,헬스장,강원특별자치도,속초시,128.579007397927,38.1914200085279
더스페셜짐&PT,헬스장,강원특별자치도,홍천군,127.883129860363,37.6839182378036
크로스핏무도,헬스장,강원특별자치도,춘천시,127.718971227408,37.8720336040633
점핑&,헬스장,강원특별자치도,원주시,127.972146807546,37.3362361363728
청년헬스장,헬스장,강원특별자치도,춘천시,127.746119614478,37.8761981548889
커브스후평클럽,헬스장,강원특별자치도,춘천시,127.750107121062,37.8804882655151
롯데헬스,헬스장,강원특별자치도,철원군,127.217325821169,38.2088918452432
비타민헬스,헬스장,강원특별자치도,원주시,127.965844737169,37.3419640338309
M-BODY스피닝,헬스장,강원특별자치도,삼척시,129.177042603076,37.4458839761174
굿바디짐,헬스장,강원특별자치도,춘천시,127.735208874694,37.8591040562914
영헬스타운,헬스장,강원특별자치도,정선군,128.657588043527,37.3823757567407
셋이노베이션,헬스장,강원특별자치도,원주시,127.97330082549,37.3198555202311
VIP휘트니스센터,헬스장,강원특별자치도,원주시,127.951931158342,37.3214439466493
Tk바디브라운,헬스장,강원특별자치도,원주시,127.987527721413,37.325963526977
사재혁역도체육관,헬스장,강원특별자치도,홍천군,127.881543639582,37.683993172713
바디제트,헬스장,강원특별자치도,강릉시,128.893411947749,37.7440735931086
팀키스짐,헬스장,강원특별자치도,원주시,127.928222519678,37.3329038388622
몬스터짐입암점,헬스장,강원특별자치도,강릉시,128.920104232208,37.7554426468074
바디플렉스&PT,헬스장,강원특별자치도,원주시,127.967199925905,37.3420430610423
리아휘트니스,헬스장,강원특별자치도,춘천시,127.742319865849,37.8565908849496
디엠휘트니스,헬스장,강원특별자치도,동해시,129.11021735808,37.4859142181168
헬스붐,헬스장,강원특별자치도,원주시,127.955720485477,37.3863210836429
커넥트,헬스장,강원특별자치도,원주시,127.928000362706,37.3478621647115
바디스토리,헬스장,강원특별자치도,춘천시,127.759948711152,37.8814071568545
퍼스트휘트니스,헬스장,강원특별자치도,속초시,128.584348163669,38.1892671565004
엑스스피닝,헬스장,강원특별자치도,원주시,127.930153236634,37.3348348345124
DM휘트니스,헬스장,강원특별자치도,동해시,129.112829875604,37.5232525949717
